Decision;Seniority;Home;Time;Age;Marital;Job;Expenses;Income;Assets;Debt;Amount;Price
1;6;owner;18;33;single;fulltime;35;163;6000;0;1200;2022
0;4;rent;60;52;married;fulltime;97;72;0;0;1200;1200
1;2;owner;60;34;married;fulltime;45;156;5000;198;1550;1550
0;0;owner;36;43;widow;others;35;49;2000;0;400;710
1;8;owner;60;40;married;fulltime;75;110;3000;0;950;1286
1;3;owner;60;31;married;fulltime;45;140;5500;1200;900;1400
1;2;owner;36;31;married;freelance;60;92;2500;850;600;1638
0;4;rent;60;27;widow;freelance;35;74;0;0;1700;1700
1;6;owner;24;42;married;partime;60;145;3000;0;500;1850
1;2;parents;60;35;married;fulltime;75;104;0;0;1200;1677
1;4;owner;36;42;married;freelance;75;400;12000;0;1500;1900
1;0;owner;48;24;married;partime;45;95;5000;0;1000;1601
1;5;owner;6;31;married;freelance;60;150;5000;0;300;1200
1;1;parents;12;53;single;fulltime;35;160;0;0;250;1456
1;14;owner;60;59;married;fulltime;60;177;10000;0;1450;1456
1;12;owner;48;38;married;fulltime;60;85;3000;0;500;960
0;6;rent;36;49;married;freelance;113;380;0;0;1000;1337
1;13;owner;60;42;married;fulltime;60;107;4000;0;1000;1359
1;0;owner;36;54;married;others;45;134;2500;0;625;801
0;2;rent;60;24;single;fulltime;35;81;0;0;850;989
1;21;rent;60;39;married;fulltime;124;191;2000;0;2000;2536
0;0;owner;60;48;married;partime;75;100;7000;0;1000;1129
1;2;parents;36;20;single;fulltime;35;110;0;0;500;1314
0;5;other;48;32;married;fulltime;45;225;0;0;1000;1812
1;15;parents;60;51;married;fulltime;60;100;0;0;300;1742
1;35;owner;48;54;married;fulltime;60;217;5000;0;1250;1455
0;3;other;36;40;married;fulltime;75;176;0;0;950;1150
1;3;owner;24;29;married;fulltime;45;254;6000;800;500;1900
0;3;other;60;27;married;fulltime;90;126;4000;0;1400;1800
1;0;owner;60;57;married;freelance;45;200;3500;0;950;1070
0;1;other;60;36;married;fulltime;60;101;0;0;850;1098
0;10;parents;60;31;married;fulltime;60;119;0;0;1600;1750
1;0;owner;48;22;single;fulltime;35;152;4000;0;1210;1325
0;0;parents;48;40;married;partime;90;113;3500;0;600;710
1;18;other;36;54;married;fulltime;75;119;0;0;300;1268
0;0;rent;60;39;single;fulltime;35;267;0;0;2350;2679
1;8;parents;60;26;single;freelance;35;75;7000;0;850;989
1;21;rent;60;36;married;fulltime;83;80;0;0;1220;1505
0;0;parents;36;22;married;partime;60;137;0;0;700;900
1;4;rent;36;26;married;fulltime;45;107;3000;0;700;700
0;5;owner;60;36;married;freelance;90;62;3000;0;650;1295
0;5;owner;60;36;married;freelance;90;62;3000;0;650;1295
1;19;rent;60;37;married;fulltime;88;125;0;0;750;970
0;4;rent;60;28;married;fulltime;79;190;4000;0;1250;1250
1;12;owner;24;56;married;fulltime;60;124;1000;0;500;1495
0;3;owner;36;35;married;partime;60;144;3000;0;475;690
0;0;owner;60;31;married;fulltime;45;184;3500;0;1550;1679
1;5;parents;24;26;single;freelance;35;100;0;0;800;2450
1;10;owner;12;34;married;fulltime;75;80;4500;3500;300;1600
1;2;rent;60;36;married;fulltime;58;129;0;0;1125;1575
1;3;owner;24;29;married;fulltime;60;225;9000;0;600;980
1;13;owner;48;33;married;fulltime;75;191;8000;2000;1400;1602
1;2;rent;24;28;married;fulltime;75;150;0;0;512;1255
1;5;rent;60;24;married;fulltime;45;127;2000;0;1000;1282
0;43;owner;60;57;married;fulltime;45;283;8000;0;900;1168
1;15;parents;60;34;single;fulltime;45;195;17000;0;1200;1200
1;2;owner;36;38;married;fulltime;45;114;3600;0;650;1100
1;0;rent;60;29;single;fulltime;35;64;0;0;1550;1700
0;0;rent;60;36;married;fulltime;85;100;0;0;1100;1256
1;0;rent;36;29;single;partime;46;113;0;0;1100;1110
1;9;owner;60;47;married;freelance;75;178;50000;0;1850;1852
1;15;owner;48;53;married;freelance;75;100;17000;0;500;1114
0;3;rent;36;32;single;freelance;35;100;0;0;950;1350
1;10;owner;60;34;married;fulltime;60;310;3000;0;1600;1849
0;2;other;60;21;single;fulltime;35;86;0;0;1400;1600
1;10;other;36;32;single;fulltime;35;139;0;0;1100;2471
1;0;owner;60;32;single;partime;35;94;7500;0;1350;1583
1;1;rent;36;24;married;fulltime;59;135;0;0;650;1136
1;23;rent;60;51;married;fulltime;45;110;2500;0;800;1343
1;3;owner;48;29;married;fulltime;45;145;3500;0;700;1104
1;4;parents;54;38;divorced;fulltime;35;53;0;0;850;1129
1;18;owner;42;38;married;freelance;75;229;8000;0;1700;1850
0;12;owner;60;47;married;freelance;75;285;20000;0;1440;1440
1;2;rent;12;34;married;freelance;69;240;0;0;500;700
1;8;parents;60;22;single;fulltime;35;86;8000;0;1200;1214
0;24;rent;60;46;married;fulltime;60;165;3500;1300;1400;1530
1;14;owner;60;39;married;fulltime;105;129;3500;1200;750;1888
1;2;parents;60;28;married;fulltime;60;131;6000;0;1250;1346
1;9;rent;60;39;married;fulltime;57;123;0;0;1000;1194
0;6;rent;48;53;separated;fulltime;56;208;0;0;1200;1479
1;23;owner;60;49;married;fulltime;60;133;2000;0;1000;1755
1;3;owner;24;46;married;freelance;75;500;14000;0;500;1095
1;0;parents;36;56;married;fulltime;35;102;6000;0;1000;1606
1;15;owner;48;33;married;fulltime;75;150;3000;0;1000;1670
1;0;parents;60;30;married;fulltime;75;100;5000;0;1350;1896
1;1;rent;18;26;single;fulltime;46;110;0;0;500;600
1;1;owner;60;34;married;freelance;60;65;11000;0;1400;1500
1;16;rent;60;36;single;fulltime;47;120;5500;1700;1650;1852
0;2;parents;24;37;single;fulltime;35;78;0;0;800;1298
1;12;owner;60;26;married;fulltime;60;187;6000;1000;1100;1175
1;25;owner;60;62;married;freelance;60;428;22000;0;1900;1994
1;3;rent;60;41;married;others;51;60;0;0;750;818
0;4;owner;60;37;married;fulltime;75;116;3000;575;950;950
1;2;owner;36;32;married;fulltime;75;114;5000;0;1000;1853
1;4;owner;48;32;married;fulltime;45;208;6500;5000;1000;1323
1;16;owner;60;31;married;fulltime;75;123;4000;0;700;1698
0;0;rent;48;28;married;partime;66;64;0;0;1100;1365
1;10;owner;48;37;married;fulltime;75;350;7000;0;1000;1628
0;3;parents;36;21;single;fulltime;35;85;0;0;105;105
1;5;rent;24;31;married;fulltime;84;90;0;0;400;2230
1;16;rent;60;36;married;fulltime;100;250;0;0;1250;1816
1;17;owner;60;34;married;fulltime;75;173;4000;1600;933;964
0;1;rent;36;25;single;fulltime;49;135;0;0;600;675
1;20;other;60;36;married;fulltime;75;210;0;0;1330;1330
1;7;rent;60;47;married;fulltime;53;80;0;0;1350;1612
1;3;rent;6;24;single;fulltime;35;173;4800;0;475;1323
1;13;owner;60;28;married;fulltime;60;130;5000;1500;900;1281
1;10;owner;36;32;married;fulltime;75;112;5000;3600;400;830
0;2;rent;60;35;married;fulltime;52;70;0;0;1000;1000
0;4;parents;36;28;single;fulltime;35;116;0;0;925;1350
1;3;owner;48;26;married;fulltime;45;165;4000;600;950;1490
1;13;owner;36;60;married;freelance;60;116;4000;0;1000;1100
1;2;owner;24;57;married;others;45;25;2500;0;400;1034
1;2;parents;36;34;separated;fulltime;35;130;4000;0;500;550
0;2;rent;60;57;married;others;50;52;1800;0;800;866
0;0;other;24;46;single;fulltime;35;78;0;0;550;550
1;1;owner;60;28;married;others;45;148;4500;0;1300;1695
0;0;owner;60;44;married;others;60;246;25000;0;850;972
1;12;rent;36;35;married;freelance;82;74;8000;0;475;550
1;1;rent;60;21;single;fulltime;49;138;0;0;950;984
0;0;owner;36;45;married;others;90;155;5000;0;300;1012
1;5;rent;48;31;married;fulltime;70;247;0;0;900;1039
1;1;parents;48;27;single;freelance;35;85;0;0;650;650
1;0;owner;12;59;married;freelance;45;42;4000;0;400;790
1;17;other;60;55;married;fulltime;60;157;8000;0;1600;1600
1;4;owner;60;36;married;fulltime;75;236;3750;2000;1500;1615
1;15;rent;60;41;married;fulltime;74;137;0;0;1000;1450
1;28;owner;36;51;married;freelance;60;152;10000;0;500;635
0;1;rent;60;35;married;freelance;35;100;3000;0;1400;1411
1;3;parents;60;33;single;fulltime;35;167;10000;0;2000;2250
0;0;rent;48;39;married;fulltime;153;330;0;0;1000;1260
1;7;rent;60;34;single;fulltime;60;250;9200;0;1500;1594
0;1;parents;36;22;single;fulltime;35;80;8000;0;490;690
1;4;owner;36;25;single;fulltime;35;200;5000;0;900;1139
1;35;owner;48;55;married;freelance;60;84;13000;0;1390;1390
1;19;owner;60;33;married;fulltime;75;200;10000;1620;1000;1671
1;6;owner;60;28;married;fulltime;60;187;5000;0;1500;2180
1;1;owner;60;24;single;fulltime;35;70;4000;0;1200;1505
1;12;owner;60;38;married;fulltime;75;120;5000;0;1100;1172
1;0;owner;60;30;married;fulltime;45;80;2000;200;1000;1331
0;15;rent;24;47;married;freelance;79;41;7000;0;1200;2257
0;3;rent;60;31;married;fulltime;81;57;0;0;1400;1475
0;5;parents;36;26;single;freelance;35;239;5000;3000;1200;2140
1;0;parents;48;21;single;fulltime;35;70;0;0;1250;1365
0;0;rent;48;27;married;freelance;70;250;0;0;860;970
1;5;owner;60;65;married;others;45;222;12000;0;600;1264
1;14;owner;60;56;married;freelance;75;150;1;0;1000;1104
1;10;owner;48;41;single;fulltime;35;175;3000;0;750;1128
1;3;rent;36;25;single;fulltime;49;138;0;0;900;1717
1;4;parents;36;27;married;fulltime;45;72;0;0;350;1426
0;0;owner;60;62;married;others;90;136;2650;0;600;790
0;10;owner;60;42;married;freelance;90;40;5000;1600;2000;2550
1;2;parents;60;25;single;freelance;45;130;8500;0;1100;1380
0;1;parents;60;34;married;fulltime;75;190;0;0;700;719
1;2;owner;60;24;married;fulltime;60;243;2500;1980;1250;1451
1;2;rent;60;26;married;fulltime;70;98;0;0;1100;1240
0;0;parents;24;21;single;partime;35;126;0;0;1150;1586
0;10;owner;48;35;married;partime;75;55;4000;0;1500;1786
0;1;owner;60;49;married;partime;105;88;2000;0;850;1149
0;1;owner;60;35;single;partime;35;181;4500;0;1600;1912
0;14;rent;60;33;married;fulltime;90;77;3400;0;1500;1813
0;4;parents;36;27;separated;fulltime;35;110;0;0;300;550
1;17;owner;60;35;married;fulltime;60;125;4000;0;1080;1428
1;4;owner;60;27;married;freelance;60;225;14500;1200;700;2273
1;2;rent;36;35;single;fulltime;42;74;0;0;950;1000
1;11;owner;18;37;married;fulltime;45;115;20000;0;600;1200
1;1;rent;48;64;married;others;74;137;3500;0;600;927
1;14;owner;36;34;widow;fulltime;45;202;6500;0;350;800
1;2;owner;48;37;married;fulltime;75;135;18000;0;1000;1062
1;5;owner;48;43;married;freelance;45;145;5000;0;680;1350
0;6;rent;36;49;married;others;65;54;0;0;450;615
1;11;owner;12;51;married;freelance;45;80;6000;0;1000;1931
1;9;owner;36;24;married;fulltime;45;140;9000;0;1000;1100
1;1;parents;60;22;single;fulltime;35;90;0;0;1250;1590
0;0;parents;36;30;single;others;45;32;0;0;650;750
1;1;owner;24;33;married;fulltime;45;130;3000;0;800;1465
1;17;owner;24;50;married;freelance;60;285;22000;700;500;1321
1;0;parents;36;19;single;partime;35;75;0;0;1450;1473
1;5;owner;36;26;married;freelance;45;150;7000;0;1500;2588
1;12;owner;60;28;single;fulltime;35;172;3000;2000;950;1184
0;1;rent;36;23;married;freelance;75;300;0;0;400;700
1;3;parents;60;26;single;fulltime;35;73;0;0;650;1200
1;20;owner;60;51;married;fulltime;60;165;3500;0;500;625
0;3;owner;36;38;married;freelance;90;300;3000;0;1200;1881
1;14;rent;60;30;married;fulltime;67;217;0;0;1800;1807
0;0;other;60;41;married;fulltime;105;134;0;0;1000;2750
1;3;rent;60;29;married;fulltime;60;90;2000;0;1650;1800
1;4;parents;36;28;married;fulltime;45;100;0;0;1000;2343
1;0;owner;48;38;married;fulltime;75;217;3500;0;1400;1689
0;7;owner;48;29;married;fulltime;60;62;4000;0;984;984
1;4;rent;6;28;married;fulltime;66;60;0;0;200;1566
1;16;owner;60;32;married;fulltime;60;117;1100;80;1400;1833
0;2;rent;48;22;single;fulltime;42;73;0;0;940;1127
0;2;parents;48;30;single;fulltime;35;86;0;0;900;1127
0;11;owner;48;30;married;fulltime;75;67;3000;2040;1000;1093
1;30;owner;36;53;married;fulltime;75;165;5000;0;900;900
0;2;rent;60;28;married;fulltime;75;166;6000;0;1500;1599
0;5;other;48;22;single;fulltime;35;82;0;0;480;1910
0;1;rent;36;24;married;freelance;44;90;0;0;1050;1493
0;1;rent;60;52;separated;fulltime;68;327;0;0;700;819
1;8;owner;60;34;married;fulltime;75;145;3000;1800;1500;1703
1;20;rent;36;39;married;freelance;95;202;0;0;600;1461
1;4;owner;60;30;married;partime;45;150;4000;2800;1400;1763
1;5;rent;36;46;married;fulltime;82;223;0;0;450;650
1;3;parents;36;52;married;fulltime;60;325;0;0;400;1700
1;10;owner;60;52;married;fulltime;60;143;5500;0;1300;1661
1;10;rent;60;36;married;fulltime;85;100;0;0;850;1150
1;11;owner;12;25;married;fulltime;45;124;2500;1000;800;1602
1;22;rent;48;46;married;fulltime;86;110;0;0;1150;1528
0;0;other;48;45;married;freelance;75;120;0;0;900;964
1;25;owner;60;53;married;fulltime;60;107;4000;0;800;932
0;2;other;60;22;single;fulltime;35;83;0;0;1400;1430
1;0;other;36;50;married;partime;60;162;20000;0;1000;1615
0;0;owner;48;52;married;others;90;245;3850;2432;1520;1670
1;12;rent;60;47;married;fulltime;60;243;8500;0;1850;1890
1;4;rent;60;27;single;fulltime;43;76;0;0;650;1070
1;12;owner;18;35;married;fulltime;60;400;6000;0;200;2225
1;0;parents;48;21;single;partime;35;106;5000;0;500;1131
1;22;owner;36;44;married;fulltime;75;120;7000;0;650;1852
0;3;parents;60;32;single;fulltime;35;122;0;0;2000;2050
1;1;rent;36;34;divorced;fulltime;43;80;0;0;700;700
1;14;rent;60;36;married;fulltime;60;120;4000;1500;1500;1540
1;10;rent;48;36;married;fulltime;80;200;0;0;978;1338
1;13;rent;60;36;married;fulltime;79;191;4000;700;1000;1209
1;1;rent;60;24;married;fulltime;52;67;0;0;800;1137
0;3;owner;36;26;single;freelance;35;169;60000;3000;800;1000
1;5;rent;12;35;married;freelance;96;210;0;0;300;700
1;4;owner;60;42;single;fulltime;35;110;2500;0;1090;1565
1;3;other;60;55;married;fulltime;45;45;0;0;600;864
1;19;owner;60;49;married;fulltime;135;150;3500;0;1100;1477
0;4;parents;60;38;separated;fulltime;35;100;0;0;1300;1500
1;9;owner;60;32;married;fulltime;75;345;6000;3300;700;994
1;7;owner;60;36;married;fulltime;60;122;3000;0;750;850
1;26;owner;60;55;married;fulltime;60;110;10000;0;1500;1527
0;2;rent;60;30;married;freelance;54;90;2000;0;1500;1500
1;11;owner;48;29;married;fulltime;75;76;15000;0;300;1336
1;4;rent;36;48;married;freelance;94;340;1000;0;525;525
0;2;owner;60;29;married;fulltime;60;185;6300;2300;2000;2675
1;5;owner;60;42;married;fulltime;75;101;3500;0;1090;1190
1;3;owner;24;32;married;fulltime;60;196;5000;300;800;1606
1;17;owner;36;47;married;fulltime;75;158;17000;0;1000;2159
1;9;parents;60;33;married;fulltime;45;221;3000;0;1600;2344
1;18;owner;60;32;single;fulltime;35;133;3500;150;1600;2200
1;18;owner;60;42;married;freelance;90;331;5000;0;1300;2147
1;6;owner;24;45;married;freelance;90;150;5000;0;250;450
1;12;owner;12;40;married;fulltime;75;390;8000;0;500;1732
1;2;owner;36;28;married;partime;60;146;2500;0;700;1258
1;1;parents;48;29;single;freelance;45;478;9000;0;2100;2450
1;8;other;24;41;divorced;fulltime;60;90;4000;0;500;1600
1;25;rent;48;55;married;fulltime;60;169;4000;0;1000;1459
0;25;owner;60;61;married;freelance;45;100;39000;0;1060;1134
0;3;rent;18;30;married;freelance;54;90;0;0;300;425
1;2;owner;48;40;married;freelance;60;160;3000;800;1300;1521
1;3;rent;48;36;married;fulltime;82;222;0;0;1900;2100
1;18;owner;60;42;married;fulltime;75;111;2500;0;1150;1640
1;1;owner;48;18;single;partime;45;111;7000;0;1100;1299
1;4;owner;36;23;married;fulltime;75;168;4000;0;1100;1385
1;20;owner;60;49;married;freelance;90;215;4500;0;1000;1228
1;14;owner;60;28;married;freelance;75;94;5500;9500;1660;2419
1;0;parents;36;26;single;fulltime;35;63;0;0;600;994
0;8;rent;60;25;married;fulltime;73;280;0;0;600;1364
1;15;owner;48;33;married;fulltime;75;220;7000;0;1300;2400
1;3;owner;60;30;married;fulltime;45;126;3500;2400;1000;1120
1;20;owner;36;44;married;fulltime;60;120;3000;0;350;400
0;2;parents;60;25;divorced;partime;35;90;0;0;900;1111
1;17;owner;24;55;married;freelance;75;191;14000;0;1000;2420
1;20;rent;60;41;single;freelance;50;148;4000;0;835;1356
0;0;other;60;47;widow;freelance;45;102;0;0;1500;1600
1;2;parents;24;26;single;fulltime;35;88;0;0;325;450
1;11;parents;60;27;married;fulltime;60;150;2500;0;1100;1129
0;12;owner;60;34;married;fulltime;60;115;4000;0;1650;1686
0;1;rent;60;31;divorced;fulltime;43;76;0;0;500;1300
1;2;owner;60;37;married;fulltime;60;145;3500;1100;1250;1763
0;17;rent;60;48;married;freelance;60;69;7000;0;1400;1813
1;13;owner;60;52;married;freelance;60;207;20000;0;1370;1714
1;3;parents;36;22;single;fulltime;35;60;19000;0;775;1050
0;4;parents;48;25;single;fulltime;35;73;0;0;700;814
1;38;owner;48;56;widow;fulltime;35;112;3000;0;850;960
0;12;owner;60;39;married;fulltime;90;95;4000;250;1450;1686
1;15;parents;48;40;single;fulltime;35;150;0;0;1000;1399
1;20;owner;60;51;married;fulltime;60;250;2500;0;1250;1825
1;0;parents;48;27;single;fulltime;35;46;0;0;900;1216
1;2;rent;60;25;married;fulltime;45;60;3000;0;1150;1163
0;4;other;60;25;single;partime;35;92;0;0;1400;1661
1;7;owner;60;36;married;fulltime;90;120;6000;1500;900;1175
1;4;owner;12;32;married;fulltime;45;231;13000;290;400;1198
0;2;rent;60;32;married;fulltime;93;175;0;0;1650;1688
1;2;parents;48;23;single;partime;35;160;3500;1200;1200;1426
1;1;parents;60;22;single;fulltime;35;109;0;0;1000;1466
0;0;parents;48;25;married;fulltime;60;247;0;0;1900;1900
0;0;other;60;34;single;fulltime;35;140;3000;0;1550;1570
1;2;other;60;41;separated;freelance;35;100;5000;0;1200;1450
1;8;parents;48;28;single;fulltime;35;115;500;0;360;363
1;1;rent;36;37;married;freelance;90;12;0;0;850;998
1;3;rent;36;34;single;fulltime;41;63;30000;0;625;921
0;0;parents;60;20;single;fulltime;35;79;0;0;1570;1575
1;10;rent;48;38;married;freelance;78;333;0;0;700;1386
1;4;owner;48;49;single;fulltime;35;183;8000;0;1200;1531
1;2;parents;24;21;single;freelance;35;46;0;0;250;355
0;0;owner;36;36;married;others;45;25;3500;0;1300;2246
1;20;rent;60;39;married;fulltime;90;159;2000;0;750;790
0;10;rent;60;39;married;freelance;119;292;13000;2500;1500;2262
1;0;rent;60;29;married;partime;61;160;0;0;1000;1055
1;21;rent;36;42;married;fulltime;74;135;450;0;240;1275
0;3;rent;60;48;separated;fulltime;47;120;0;0;1000;1077
1;2;owner;36;27;widow;fulltime;35;135;8000;0;750;1296
0;3;owner;36;43;married;freelance;45;74;3500;0;600;800
0;1;owner;60;46;married;fulltime;75;209;11000;0;1800;2015
1;19;rent;18;39;single;fulltime;45;100;0;0;450;997
0;3;rent;24;22;single;freelance;50;148;0;0;700;950
0;25;parents;60;64;married;fulltime;45;130;0;0;2047;2946
1;2;rent;60;28;single;fulltime;45;101;0;0;1300;1333
1;3;parents;36;21;single;partime;35;49;0;0;750;850
1;5;rent;30;58;married;fulltime;80;200;15000;0;520;690
0;6;rent;36;41;married;freelance;75;94;0;0;775;875
1;10;rent;36;47;single;partime;86;114;3500;0;400;872
1;17;rent;24;49;married;freelance;80;53;0;0;600;1104
1;0;owner;12;22;single;fulltime;35;132;3500;0;300;509
0;0;owner;60;62;married;others;45;42;4000;0;500;827
0;2;parents;36;24;single;fulltime;35;90;0;0;1000;1150
1;28;owner;24;59;married;freelance;60;606;6000;0;1550;1760
1;0;rent;48;36;married;fulltime;74;141;0;0;1150;1485
1;5;owner;60;36;married;fulltime;75;141;4000;0;1300;1435
0;5;parents;36;45;married;fulltime;75;68;0;0;2375;2875
1;12;owner;36;41;married;freelance;60;150;10000;0;1000;2100
1;4;owner;24;30;married;fulltime;45;165;3000;0;250;450
1;6;parents;60;43;married;freelance;75;70;4000;0;1000;1548
1;0;rent;24;23;single;fulltime;42;70;0;0;125;125
1;9;owner;48;41;separated;fulltime;35;60;8000;1000;1200;1538
1;9;rent;36;31;married;freelance;84;241;10000;0;3800;5852
0;2;rent;12;47;married;fulltime;103;426;0;0;350;450
0;2;rent;60;36;separated;freelance;35;53;0;0;2000;2676
1;2;parents;12;25;single;freelance;35;74;18000;0;600;1638
1;18;owner;60;49;married;fulltime;135;180;13500;0;900;994
1;16;owner;36;57;married;fulltime;60;154;4000;130;700;1090
0;10;owner;60;26;married;fulltime;60;63;5000;3000;1400;1432
1;11;owner;60;37;married;fulltime;90;289;7000;250;1200;1599
0;14;owner;36;45;separated;fulltime;45;190;12000;0;2100;2758
1;4;rent;60;24;married;fulltime;75;147;0;0;1300;1700
0;1;owner;60;42;married;fulltime;105;198;3500;250;1000;1245
0;2;rent;24;23;single;freelance;75;400;0;0;750;900
1;1;rent;60;38;married;partime;58;130;0;0;1450;1593
0;2;owner;60;36;married;freelance;60;140;29000;0;3900;4812
1;13;parents;60;27;married;fulltime;60;100;0;0;950;1152
1;5;owner;24;37;married;freelance;90;143;7000;0;700;900
0;1;rent;36;25;married;fulltime;54;87;0;0;500;646
1;6;rent;60;23;married;fulltime;62;171;0;0;1000;1209
1;20;owner;36;47;married;fulltime;75;203;4000;0;1050;1258
1;9;owner;18;52;married;fulltime;60;154;5500;0;500;1531
1;15;owner;12;55;married;fulltime;45;130;7000;0;200;1240
1;0;parents;48;28;single;fulltime;35;90;3500;0;1000;1210
1;5;parents;60;24;single;fulltime;35;92;0;0;1030;1068
1;15;parents;36;40;married;freelance;75;22;0;0;375;375
1;4;owner;48;36;married;fulltime;75;210;4000;0;1800;2628
1;4;owner;24;26;married;fulltime;45;115;4000;0;500;1400
1;5;parents;18;22;single;fulltime;35;80;0;0;600;1132
1;2;parents;60;25;single;fulltime;35;110;0;0;860;959
1;4;owner;24;44;married;freelance;75;86;5000;0;900;1100
1;0;owner;60;56;married;others;60;117;3000;0;1200;1347
1;1;other;42;33;married;fulltime;90;138;3500;606;1400;1700
1;7;owner;60;42;married;fulltime;45;88;4000;0;850;1033
1;11;parents;12;29;married;fulltime;60;54;0;0;600;1683
1;40;rent;18;62;married;freelance;77;166;10000;0;900;2040
1;10;owner;60;33;married;fulltime;75;364;60000;0;1300;1804
1;3;owner;48;32;married;freelance;75;65;10500;1500;1500;2155
1;24;owner;60;54;married;freelance;45;109;17000;0;2000;3400
1;6;parents;36;24;single;fulltime;35;57;0;0;380;490
0;2;rent;48;36;divorced;fulltime;45;99;0;0;750;1350
1;3;parents;48;27;married;fulltime;45;227;0;0;1150;1575
1;11;owner;60;29;single;fulltime;35;57;1500;0;700;994
1;1;parents;24;22;single;partime;35;80;0;0;150;400
0;5;rent;36;22;single;fulltime;42;70;0;0;850;870
1;1;rent;48;39;married;fulltime;86;105;0;0;1300;1600
0;1;parents;48;24;single;fulltime;35;65;0;0;900;1061
1;20;owner;48;39;married;freelance;75;45;10000;0;2000;3650
1;7;parents;48;31;single;fulltime;35;72;5500;0;1000;1051
1;3;parents;36;31;married;fulltime;60;80;0;0;1450;1700
1;25;owner;48;47;married;freelance;60;157;15000;0;1990;2460
1;12;owner;36;46;married;fulltime;60;117;3000;0;825;1325
1;4;rent;36;32;married;fulltime;55;100;0;0;300;500
1;0;rent;12;28;married;fulltime;60;130;3000;2000;380;1308
1;15;owner;12;49;married;freelance;75;91;17000;0;700;1420
1;20;owner;12;60;married;freelance;60;67;40000;0;700;1420
0;0;other;60;31;married;fulltime;90;69;0;0;1450;1604
1;12;owner;54;35;married;fulltime;75;113;3000;600;1650;1800
1;10;owner;48;44;married;fulltime;75;450;12000;0;1030;1128
1;0;parents;48;21;single;fulltime;35;50;0;0;1000;1091
0;2;owner;48;20;single;freelance;35;450;31000;0;1500;1853
0;0;other;36;45;married;partime;75;87;1500;0;300;480
1;1;owner;60;34;married;fulltime;45;180;2500;300;1300;1817
1;1;rent;60;21;married;fulltime;58;132;0;0;1275;1381
0;6;owner;36;44;married;fulltime;75;150;7000;600;650;650
1;1;rent;36;34;married;freelance;94;189;15000;1500;1500;2435
1;15;rent;48;40;married;fulltime;88;125;0;0;1100;1498
1;11;parents;36;29;single;fulltime;35;64;0;0;600;1314
1;1;rent;36;44;married;fulltime;105;145;0;0;1000;2275
0;1;rent;36;27;single;fulltime;42;67;0;0;1000;1350
0;1;owner;36;27;married;partime;45;127;4500;3000;600;745
1;11;owner;48;46;married;freelance;75;160;10000;0;1150;1156
1;2;owner;60;43;married;fulltime;45;63;3000;0;1100;1683
1;1;owner;36;25;widow;fulltime;45;60;2000;0;525;800
1;11;rent;60;28;single;fulltime;42;67;0;0;900;1399
1;3;owner;48;30;married;fulltime;75;88;6000;400;1200;1796
0;1;rent;48;29;married;partime;77;170;0;0;1300;2262
1;15;rent;60;39;married;freelance;60;145;5000;0;1300;1625
0;1;other;42;24;single;fulltime;35;60;0;0;1200;1616
1;8;owner;12;29;married;fulltime;45;92;6000;2400;100;1492
1;10;rent;60;55;married;fulltime;60;195;4000;0;1900;2150
1;3;rent;36;27;married;fulltime;68;80;0;0;325;400
0;2;owner;36;20;single;freelance;35;184;80000;30000;750;1350
1;0;other;42;24;single;fulltime;35;42;0;0;800;1450
1;9;other;36;32;single;fulltime;35;125;0;0;1000;1725
1;4;rent;48;38;married;fulltime;91;161;5000;0;800;1008
1;0;parents;24;24;single;partime;35;117;4000;0;1000;1489
1;7;owner;18;33;married;freelance;60;164;4000;0;550;1679
1;1;parents;60;30;single;fulltime;35;75;0;0;1000;1156
1;25;other;18;43;married;fulltime;75;85;700;0;400;1205
1;6;rent;60;34;separated;fulltime;47;120;0;0;1100;1700
1;3;rent;48;35;separated;fulltime;59;240;0;0;1300;1627
1;4;owner;60;24;married;freelance;60;250;9000;3400;1250;1300
0;0;owner;60;30;married;others;60;78;3500;0;1250;1365
1;5;owner;18;28;married;fulltime;60;102;2500;1300;450;1437
0;12;owner;48;49;married;fulltime;45;152;7500;0;1100;2120
1;4;rent;24;44;married;fulltime;75;96;4000;0;580;923
0;9;parents;60;31;single;fulltime;35;92;0;0;1000;1161
1;2;parents;60;26;married;fulltime;45;199;0;0;1500;1698
1;0;owner;48;43;married;partime;75;71;14000;0;1100;1660
1;13;owner;60;38;single;fulltime;45;80;4000;0;1060;1274
1;2;other;42;25;married;fulltime;60;190;0;0;1100;1729
1;8;owner;36;40;married;freelance;75;200;10000;0;700;800
1;14;rent;12;49;married;fulltime;90;140;3000;500;400;1432
0;11;rent;48;40;married;fulltime;59;140;0;0;1000;1930
0;20;owner;36;57;married;fulltime;90;114;5000;1500;1000;1193
1;1;parents;48;28;single;fulltime;35;140;0;0;1400;1728
1;14;parents;60;28;married;fulltime;45;140;0;0;1150;1301
1;13;owner;48;54;married;fulltime;45;90;2500;0;1000;1198
1;0;owner;36;36;married;fulltime;75;424;9500;700;1000;1690
1;1;rent;60;26;married;partime;61;155;0;0;1035;1709
0;0;owner;60;36;married;freelance;75;239;6000;0;1650;1861
1;10;rent;60;26;married;fulltime;78;175;0;0;1000;1314
1;28;parents;24;44;married;freelance;90;180;0;0;450;1472
1;8;owner;36;30;married;fulltime;60;50;5000;400;300;1890
